日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260228,5287,イトーヨーギョー,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5288,アジアパイルホールディングス,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20260228,5290,ベルテクスコーポレーション,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5301,東海カーボン,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20260228,5302,日本カーボン,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20260228,5304,ＳＥＣカーボン,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5310,東洋炭素,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20260228,5331,ノリタケ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20260228,5332,ＴＯＴＯ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20260228,5333,日本碍子,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20260228,5334,日本特殊陶業,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20260228,5337,ダントーホールディングス,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5341,ＡＳＡＨＩ　ＥＩＴＯホールディングス,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5344,ＭＡＲＵＷＡ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20260228,5351,品川リフラ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20260228,5352,黒崎播磨,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20260228,5355,日本坩堝,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5356,美濃窯業,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5357,ヨータイ,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,7,TOPIX Small 2
20260228,5363,東京窯業,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5367,ニッカトー,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5368,日本インシュレーション,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5380,新東,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5381,マイポックス,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5384,フジミインコーポレーテッド,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20260228,5386,鶴弥,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5388,クニミネ工業,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5391,エーアンドエーマテリアル,スタンダード（内国株式）,3400,ガラス・土石製品,3,建設・資材,-,-
20260228,5393,ニチアス,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,4,TOPIX Mid400
20260228,5401,日本製鉄,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,2,TOPIX Large70
20260228,5406,神戸製鋼所,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,4,TOPIX Mid400
20260228,5408,中山製鋼所,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260228,5410,合同製鐵,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5411,ＪＦＥホールディングス,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,4,TOPIX Mid400
20260228,5423,東京製鐵,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5440,共英製鋼,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5444,大和工業,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,4,TOPIX Mid400
20260228,5445,東京鐵鋼,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5446,北越メタル,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5449,大阪製鐵,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260228,5451,ヨドコウ,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5458,高砂鐵工,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5461,中部鋼鈑,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5463,丸一鋼管,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,4,TOPIX Mid400
20260228,5464,モリ工業,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260228,5471,大同特殊鋼,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,4,TOPIX Mid400
20260228,5480,日本冶金工業,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5482,愛知製鋼,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5484,東北特殊鋼,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5491,日本金属,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5525,フロンティアホールディングス,PRO Market,8050,不動産業,17,不動産,-,-
20260228,5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20260228,5528,フロンティアハウス,PRO Market,8050,不動産業,17,不動産,-,-
20260228,5531,中山不動産,PRO Market,8050,不動産業,17,不動産,-,-
20260228,5532,リアルゲイト,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20260228,5533,エリッツホールディングス,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20260228,5534,エンゼルグループ,PRO Market,8050,不動産業,17,不動産,-,-
20260228,5535,ミガロホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,-,-
20260228,5536,京橋アートレジデンス,PRO Market,8050,不動産業,17,不動産,-,-
20260228,5537,ＡｌｂａＬｉｎｋ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20260228,5541,大平洋金属,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260228,5542,新報国マテリアル,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5563,新日本電工,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5570,ジェノバ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5571,エキサイトホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5572,Ｒｉｄｇｅ－ｉ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5573,働楽ホールディングス,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5574,ＡＢＥＪＡ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5575,Ｇｌｏｂｅｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5576,オービーシステム,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5578,ＡＲアドバンストテクノロジ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5580,プロディライト,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5581,カイテクノロジー,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5582,グリッド,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5584,Ｓｔｒａｗｂｅｒｒｙ　ｊａｍｓ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5586,Ｌａｂｏｒｏ．ＡＩ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5587,インバウンドプラットフォーム,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5588,ファーストアカウンティング,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5589,オートサーバー,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5590,ネットスターズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5591,ＡＶＩＬＥＮ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5592,くすりの窓口,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5594,エム・デー・ビー,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5597,ブルーイノベーション,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5598,Ｙｏｔｔａｖｉａｓ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5599,Ｓ＆Ｊ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5602,栗本鐵工所,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5603,虹技,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5609,日本鋳造,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5612,日本鋳鉄管,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5616,雨風太陽,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5617,ウィル・ドゥ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5618,ナイル,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5619,マーソ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5620,エスピーオー,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5621,ヒューマンテクノロジーズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5622,ワンビ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,5631,日本製鋼所,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260228,5632,三菱製鋼,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260228,5644,メタルアート,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5658,日亜鋼業,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5659,日本精線,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260228,5660,神鋼鋼線工業,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5695,パウダーテック,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5697,サンユウ,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5698,エンビプロ・ホールディングス,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260228,5699,イボキン,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260228,5702,大紀アルミニウム工業所,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5703,日本軽金属ホールディングス,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5704,ＪＭＣ,グロース（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20260228,5706,三井金属,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
20260228,5707,東邦亜鉛,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,7,TOPIX Small 2
20260228,5711,三菱マテリアル,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
20260228,5713,住友金属鉱山,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
20260228,5714,ＤＯＷＡホールディングス,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
20260228,5715,古河機械金属,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5721,エス・サイエンス,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20260228,5724,アサカ理研,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20260228,5726,大阪チタニウムテクノロジーズ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5727,東邦チタニウム,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5729,日本精鉱,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20260228,5741,ＵＡＣＪ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5742,エヌアイシ・オートテック,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20260228,5753,日本伸銅,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20260228,5757,ＣＫサンエツ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,7,TOPIX Small 2
20260228,5801,古河電気工業,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,4,TOPIX Mid400
20260228,5802,住友電気工業,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,2,TOPIX Large70
20260228,5803,フジクラ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,2,TOPIX Large70
20260228,5805,ＳＷＣＣ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5816,オーナンバ,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20260228,5817,ＪＭＡＣＳ,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20260228,5819,カナレ電気,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20260228,5820,三ッ星,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20260228,5821,平河ヒューテック,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,7,TOPIX Small 2
20260228,5830,いよぎんホールディングス,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20260228,5831,しずおかフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20260228,5832,ちゅうぎんフィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20260228,5834,ＳＢＩリーシングサービス,グロース（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20260228,5838,楽天銀行,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20260228,5840,日本総険,PRO Market,7150,保険業,16,金融（除く銀行）,-,-
20260228,5842,インテグラル,グロース（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20260228,5843,ニッポンインシュア,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20260228,5844,京都フィナンシャルグループ,プライム（内国株式）,7050,銀行業,15,銀行,4,TOPIX Mid400
20260228,5845,全保連,スタンダード（内国株式）,7200,その他金融業,16,金融（除く銀行）,-,-
20260228,5851,リョービ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5852,アーレスティ,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20260228,5856,エルアイイーエイチ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,5857,ＡＲＥホールディングス,プライム（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,6,TOPIX Small 1
20260228,5858,ＳＴＧ,グロース（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20260228,5866,ＷｉｚＢｉｚ,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,5867,エスネットワークス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,5868,ロココ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,5869,早稲田学習研究会,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,5870,ナルネットコミュニケーションズ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,5871,ＳＯＬＩＺＥ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,5883,ＧＴホールディングス,PRO Market,6050,卸売業,13,商社・卸売,-,-
20260228,5884,クラダシ,グロース（内国株式）,6100,小売業,14,小売,-,-
20260228,5885,ジーデップ・アドバンス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20260228,5886,ＯＯＫＡＢＥ　ＧＬＡＳＳ,PRO Market,6050,卸売業,13,商社・卸売,-,-
20260228,5887,光響,PRO Market,6050,卸売業,13,商社・卸売,-,-
20260228,5888,ＤＡＩＷＡ　ＣＹＣＬＥ,グロース（内国株式）,6100,小売業,14,小売,-,-
20260228,5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20260228,5890,オフィスバスターズ,PRO Market,6100,小売業,14,小売,-,-
20260228,5891,魁力屋,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20260228,5892,ｙｕｔｏｒｉ,グロース（内国株式）,6100,小売業,14,小売,-,-
20260228,5893,ＲＡＶＩＰＡ,PRO Market,6100,小売業,14,小売,-,-
20260228,5900,ダイケン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5901,東洋製罐グループホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20260228,5902,ホッカンホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260228,5903,シンポ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5905,日本製罐,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5906,エムケー精工,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5909,コロナ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260228,5911,横河ブリッジホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20260228,5915,駒井ハルテック,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5918,瀧上工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5921,川岸工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5922,那須電機鉄工,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5923,高田機工,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5928,アルメタックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5929,三和ホールディングス,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20260228,5930,文化シヤッター,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20260228,5932,三協立山,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260228,5933,アルインコ,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260228,5936,東洋シヤッター,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5938,ＬＩＸＩＬ,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20260228,5939,大谷工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5940,不二サッシ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5941,中西製作所,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5942,日本フイルコン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5943,ノーリツ,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20260228,5945,天龍製鋸,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5946,長府製作所,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260228,5947,リンナイ,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20260228,5949,ユニプレス,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,6,TOPIX Small 1
20260228,5950,日本パワーファスニング,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5951,ダイニチ工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5952,アマテイ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5955,ワイズホールディングス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5956,トーソー,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5957,日東精工,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260228,5958,三洋工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5959,岡部,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260228,5962,浅香工業,スタンダード（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20260228,5965,フジマック,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5966,京都機械工具,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5967,ＴＯＮＥ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5969,ロブテックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5970,ジーテクト,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20260228,5971,共和工業所,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5973,トーアミ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5974,中国工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5975,東プレ,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20260228,5976,高周波熱錬,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260228,5981,東京製綱,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260228,5982,マルゼン,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5983,イワブチ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5984,兼房,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5985,サンコール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260228,5986,モリテック　スチール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5987,オーネックス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5988,パイオラックス,プライム（内国株式）,3550,金属製品,3,建設・資材,6,TOPIX Small 1
20260228,5989,エイチワン,プライム（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260228,5990,スーパーツール,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5991,日本発條,プライム（内国株式）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20260228,5992,中央発條,スタンダード（内国株式）,3550,金属製品,3,建設・資材,7,TOPIX Small 2
20260228,5994,ファインシンター,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5997,協立エアテック,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,5998,アドバネクス,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20260228,6005,三浦工業,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260228,6013,タクマ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1
20260228,6016,ジャパンエンジンコーポレーション,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
20260228,6018,阪神内燃機工業,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
20260228,6022,赤阪鐵工所,スタンダード（内国株式）,3600,機械,8,機械,-,-
20260228,6023,ダイハツインフィニアース,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
20260228,6027,弁護士ドットコム,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260228,6029,アトラグループ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6030,アドベンチャー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6031,ＺＥＴＡ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6033,エクストリーム,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6034,ＭＲＴ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6035,アイ・アールジャパンホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260228,6036,ＫｅｅＰｅｒ技研,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20260228,6037,楽待,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6038,イード,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6039,日本動物高度医療センター,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6040,日本スキー場開発,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6042,ニッキ,スタンダード（内国株式）,3700,輸送用機器,6,自動車・輸送機,-,-
20260228,6044,三機サービス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6045,レントラックス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6046,リンクバル,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6047,Ｇｕｎｏｓｙ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260228,6049,イトクロ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6050,イー・ガーディアン,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260228,6054,リブセンス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6055,ジャパンマテリアル,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20260228,6058,ベクトル,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260228,6059,ウチヤマホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,6061,ユニバーサル園芸社,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
